Possession Status,Price,Covered Area,Carpet Area,City,Type of Property,bedroom,Bathroom,Parking,Location,Society,Ownership Type,isPrimeLocationProperty,Maintenance Charges
Under Construction,7499000.0,709.0,709.0,Thane,Apartment,2,2.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,0.0
Ready to Move,4500000.0,675.0,450.0,Thane,Apartment,1,2.0,1 Open,"Kalyan West, Thane",Y,Freehold,Y,2200.0
Under Construction,4300000.0,590.0,367.0,Thane,Apartment,1,2.0,1 Covered,"Kalyan West, Thane",N,Freehold,Y,0.0
Under Construction,3950000.0,,390.0,Thane,Apartment,1,2.0,"1 Covered, 1 Open","Kalyan West, Thane",Y,Freehold,Y,1200.0
Ready to Move,3600000.0,645.0,467.0,Thane,Apartment,1,2.0,1 Open,"Kalyan West, Thane",Y,Freehold,Y,
Ready to Move,3580000.0,650.0,460.0,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,Freehold,Y,1000.0
Under Construction,14796000.0,2160.0,1385.0,Thane,Apartment,3,3.0,2 Covered,"Kalyan West, Thane",Y,Freehold,Y,7000.0
Under Construction,4300000.0,854.0,505.0,Thane,Apartment,2,2.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,3.0
Under Construction,4185500.0,384.0,384.0,Thane,Apartment,1,2.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,3.0
Ready to Move,2400000.0,675.0,,Thane,Apartment,2,2.0,,"Kalyan West, Thane",Y,,Y,
Ready to Move,2000000.0,605.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",Y,Freehold,Y,
Ready to Move,2500000.0,620.0,,Thane,Residential House,2,2.0,,,Y,,Y,
Under Construction,4000000.0,785.0,,Thane,Apartment,1,2.0,,"Kalyan West, Thane",N,,Y,
Ready to Move,5000000.0,711.0,,Thane,Apartment,1,2.0,,"Kalyan West, Thane",N,,Y,
Under Construction,9500000.0,675.0,,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,,N,
Ready to Move,6000000.0,870.0,600.0,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,,N,
Ready to Move,4000000.0,580.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,N,
Ready to Move,3400000.0,780.0,,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,,N,
Ready to Move,4300000.0,615.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,Co-operative Society,N,
Ready to Move,7000000.0,1200.0,,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,,N,
Ready to Move,3500000.0,445.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,N,
Under Construction,3000000.0,650.0,,Thane,Apartment,1,1.0,1 Covered,"Kalyan West, Thane",N,,N,
Ready to Move,4100000.0,671.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,N,
Under Construction,9000000.0,1085.0,,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,,N,
Under Construction,8200000.0,689.0,633.0,Thane,Apartment,1,2.0,,"Kalyan West, Thane",N,,N,
Ready to Move,4500000.0,545.0,,Thane,Apartment,1,2.0,,"Kalyan West, Thane",N,,N,
Ready to Move,5600000.0,805.0,,Thane,Residential House,2,2.0,,,N,,N,2087.0
Ready to Move,2800000.0,603.0,392.0,Thane,Apartment,1,1.0,,"Kalyan West, Thane",Y,,N,14000.0
Ready to Move,3500000.0,615.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,N,
Ready to Move,7000000.0,970.0,,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,,N,
Ready to Move,3900000.0,660.0,,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,,N,
