Possession Status,Price,Covered Area,Carpet Area,City,Type of Property,bedroom,Bathroom,Parking,Location,Society,Ownership Type,isPrimeLocationProperty,Maintenance Charges
Ready to Move,1900000.0,450.0,385.0,Mumbai,Apartment,1,1.0,1 Open,"Vasai West, Mumbai",Y,Co-operative Society,N,
Ready to Move,3000000.0,395.0,500.0,Mumbai,Apartment,1,1.0,,"Chulne, Mumbai",N,Co-operative Society,N,
Ready to Move,6000000.0,1471.0,,Mumbai,Villa,2,2.0,,,N,,Y,2000.0
Ready to Move,2500000.0,,300.0,Mumbai,Villa,1,1.0,,,N,,N,
Ready to Move,3200000.0,720.0,585.0,Mumbai,Apartment,2,2.0,,"Vasai West, Mumbai",N,Freehold,N,
Ready to Move,4700000.0,650.0,435.0,Mumbai,Apartment,1,1.0,,"Vasai West, Mumbai",Y,Co-operative Society,Y,
Ready to Move,3600000.0,575.0,575.0,Mumbai,Apartment,1,1.0,,"Vasai West, Mumbai",Y,Freehold,N,
Ready to Move,4000000.0,600.0,555.0,Mumbai,Apartment,1,2.0,1 Open,"Vasai West, Mumbai",Y,Co-operative Society,N,0.0
Ready to Move,5700000.0,665.0,550.0,Mumbai,Apartment,1,1.0,"1 Covered, 1 Open","Vasai West, Mumbai",Y,Co-operative Society,Y,2000.0
Ready to Move,4150000.0,565.0,,Mumbai,Builder Floor Apartment,1,1.0,,"Vasai West, Mumbai",N,,N,
Ready to Move,6500000.0,750.0,615.0,Mumbai,Apartment,2,2.0,,"Vasai West, Mumbai",N,Co-operative Society,N,
Ready to Move,7500000.0,770.0,,Mumbai,Builder Floor Apartment,2,2.0,,"Vasai West, Mumbai",N,Co-operative Society,N,
Ready to Move,7500000.0,1008.0,810.0,Mumbai,Apartment,2,2.0,,"Vasai West, Mumbai",N,Co-operative Society,N,
Ready to Move,12500000.0,2800.0,,Mumbai,Residential House,4,3.0,,,N,Freehold,N,
Ready to Move,4400000.0,620.0,,Mumbai,Apartment,1,2.0,,"Vasai West, Mumbai",N,,N,
Ready to Move,11000000.0,1275.0,1275.0,Mumbai,Apartment,3,2.0,,"Vasai West, Mumbai",N,Co-operative Society,N,
Ready to Move,2300000.0,325.0,280.0,Mumbai,Apartment,1,1.0,,"Vasai West, Mumbai",Y,Co-operative Society,N,450.0
Ready to Move,3400000.0,425.0,,Mumbai,Apartment,1,1.0,,"Vasai West, Mumbai",N,,N,
Ready to Move,6500000.0,875.0,,Mumbai,Apartment,2,2.0,,"Vasai West, Mumbai",N,,Y,
Ready to Move,4000000.0,,550.0,Mumbai,Apartment,2,1.0,,"Vasai West, Mumbai",Y,,Y,
Ready to Move,3600000.0,545.0,,Mumbai,Apartment,1,1.0,,"Vasai West, Mumbai",N,,Y,
Ready to Move,4200000.0,,500.0,Mumbai,Apartment,1,1.0,,"Vasai West, Mumbai",Y,Freehold,Y,
Ready to Move,4500000.0,590.0,,Mumbai,Apartment,2,2.0,,"Vasai West, Mumbai",Y,,Y,
Ready to Move,4300000.0,587.0,,Mumbai,Builder Floor Apartment,2,1.0,,"Vasai West, Mumbai",N,,Y,
,3000000.0,425.0,,Mumbai,Apartment,1,2.0,1 Open,"Vasai West, Mumbai",Y,Co-operative Society,Y,1000.0
Ready to Move,3900000.0,565.0,,Mumbai,Apartment,1,1.0,,"Vasai West, Mumbai",N,,Y,
Ready to Move,3200000.0,467.0,,Mumbai,Builder Floor Apartment,1,1.0,,"Vasai West, Mumbai",N,,Y,
Ready to Move,4000000.0,535.0,,Mumbai,Apartment,1,1.0,,"Vasai West, Mumbai",N,,Y,
Ready to Move,3800000.0,560.0,550.0,Mumbai,Apartment,1,1.0,1 Open,"Vasai West, Mumbai",N,Freehold,N,
Ready to Move,4500000.0,585.0,400.0,Mumbai,Apartment,1,2.0,,"Vasai West, Mumbai",Y,Freehold,N,
Ready to Move,2600000.0,440.0,,Mumbai,Builder Floor Apartment,1,1.0,,"Vasai West, Mumbai",N,,N,
Ready to Move,3000000.0,419.0,350.0,Mumbai,Apartment,1,2.0,,"Vasai West, Mumbai",N,,N,
Ready to Move,3200000.0,,585.0,Mumbai,Apartment,2,1.0,,"Vasai West, Mumbai",N,Freehold,N,
Ready to Move,4000000.0,510.0,,Mumbai,Builder Floor Apartment,1,1.0,,"Vasai West, Mumbai",N,,N,
Ready to Move,12000000.0,1500.0,1500.0,Mumbai,Residential House,3,3.0,,,Y,Co-operative Society,N,2800.0
Ready to Move,3800000.0,552.0,,Mumbai,Apartment,2,1.0,,"Vasai West, Mumbai",N,Co-operative Society,N,
Ready to Move,3700000.0,500.0,,Mumbai,Apartment,1,1.0,,"Vasai West, Mumbai",N,,N,
Ready to Move,9000000.0,87.0,,Mumbai,Residential House,1,1.0,,,N,,N,
Ready to Move,3900000.0,535.0,535.0,Mumbai,Apartment,1,1.0,,"Vasai West, Mumbai",Y,Co-operative Society,N,
Ready to Move,3850000.0,555.0,,Mumbai,Apartment,1,2.0,,"Vasai West, Mumbai",N,,N,
Ready to Move,4200000.0,,550.0,Mumbai,Apartment,1,1.0,,"Vasai West, Mumbai",Y,,N,
Ready to Move,3100000.0,,485.0,Mumbai,Apartment,1,1.0,1 Open,"Vasai West, Mumbai",N,Co-operative Society,N,
Ready to Move,15000000.0,2200.0,,Mumbai,Villa,4,4.0,,,N,,N,
Ready to Move,8000000.0,1050.0,,Mumbai,Apartment,3,2.0,,"Vasai West, Mumbai",N,Co-operative Society,N,
Ready to Move,3600000.0,620.0,550.0,Mumbai,Apartment,1,1.0,,"Vasai West, Mumbai",Y,,N,
Ready to Move,6000000.0,900.0,,Mumbai,Builder Floor Apartment,3,2.0,2 Open,"Vasai West, Mumbai",Y,Co-operative Society,N,1500.0
Ready to Move,6000000.0,650.0,,Mumbai,Apartment,2,3.0,,"Vasai West, Mumbai",Y,,N,600.0
Ready to Move,3000000.0,395.0,,Mumbai,Apartment,1,1.0,,"Vasai West, Mumbai",N,,N,
Ready to Move,11000000.0,1180.0,980.0,Mumbai,Apartment,3,3.0,,"Vasai West, Mumbai",Y,,Y,
Ready to Move,8000000.0,1050.0,,Mumbai,Apartment,2,2.0,10 Open,"Vasai West, Mumbai",N,Co-operative Society,Y,
Ready to Move,5000000.0,550.0,450.0,Mumbai,Apartment,1,1.0,3 Open,"Vasai West, Mumbai",Y,Freehold,Y,550.0
Ready to Move,8000000.0,1060.0,,Mumbai,Residential House,2,2.0,,,N,,Y,
Ready to Move,4200000.0,505.0,505.0,Mumbai,Apartment,1,2.0,,"Vasai West, Mumbai",N,Co-operative Society,Y,
Ready to Move,16000000.0,1650.0,1050.0,Mumbai,Apartment,3,3.0,,"Vasai West, Mumbai",Y,Freehold,Y,
Ready to Move,6000000.0,615.0,,Mumbai,Apartment,1,1.0,,"Vasai West, Mumbai",Y,Freehold,Y,615.0
Ready to Move,2800000.0,326.0,,Mumbai,Apartment,1,1.0,,"Vasai West, Mumbai",N,,Y,
Ready to Move,7000000.0,800.0,,Mumbai,Apartment,3,3.0,1 Open,"Vasai West, Mumbai",N,,Y,
Ready to Move,7000000.0,700.0,575.0,Mumbai,Apartment,2,2.0,,"Vasai West, Mumbai",N,Co-operative Society,Y,
Ready to Move,3600000.0,625.0,520.0,Mumbai,Apartment,1,1.0,,"Vasai West, Mumbai",N,Co-operative Society,N,
Ready to Move,3400000.0,545.0,475.0,Mumbai,Builder Floor Apartment,1,1.0,,"Vasai West, Mumbai",N,Freehold,N,
Ready to Move,4700000.0,560.0,400.0,Mumbai,Apartment,1,2.0,1 Open,"Vasai West, Mumbai",Y,Freehold,N,1090.0
Ready to Move,5000000.0,,610.0,Mumbai,Apartment,1,1.0,,"Chulne, Mumbai",N,Freehold,N,
Ready to Move,3250000.0,470.0,470.0,Mumbai,Apartment,1,1.0,,"Vasai West, Mumbai",N,Freehold,N,
Ready to Move,5100000.0,955.0,955.0,Mumbai,Residential House,2,2.0,,,Y,Freehold,N,
Under Construction,6000000.0,1220.0,900.0,Mumbai,Apartment,2,2.0,"1 Covered, 1 Open","Vasai West, Mumbai",Y,Freehold,Y,1200.0
Ready to Move,3000000.0,435.0,435.0,Mumbai,Residential House,1,1.0,1 Open,,Y,Co-operative Society,N,720.0
Ready to Move,3300000.0,,460.0,Mumbai,Apartment,1,1.0,,"Vasai West, Mumbai",N,,N,
Ready to Move,4600000.0,575.0,,Mumbai,Apartment,1,1.0,1 Open,"Dindayal Nagar Vasai, Mumbai",N,Co-operative Society,N,
Ready to Move,4450000.0,670.0,,Mumbai,Apartment,1,1.0,,"Vasai West, Mumbai",N,Co-operative Society,N,
Ready to Move,13000000.0,1250.0,1000.0,Mumbai,Apartment,3,3.0,,"Vasai West, Mumbai",N,Freehold,Y,
Ready to Move,3250000.0,560.0,545.0,Mumbai,Apartment,1,1.0,,"Vasai West, Mumbai",N,,Y,
Ready to Move,9000000.0,1500.0,1500.0,Mumbai,Residential House,3,3.0,,,Y,Freehold,Y,450.0
Ready to Move,17000000.0,3000.0,,Mumbai,Villa,3,3.0,,,Y,Co-operative Society,Y,
Ready to Move,4500000.0,530.0,417.0,Mumbai,Apartment,1,1.0,,"Vasai West, Mumbai",Y,,Y,
Ready to Move,4600000.0,,660.0,Mumbai,Apartment,2,2.0,,"Vasai West, Mumbai",Y,Co-operative Society,Y,750.0
Ready to Move,11000000.0,1100.0,795.0,Mumbai,Apartment,3,3.0,,"Vasai West, Mumbai",N,Freehold,Y,
Ready to Move,6500000.0,850.0,,Mumbai,Apartment,2,2.0,,"Vasai West, Mumbai",N,Co-operative Society,Y,
Ready to Move,5700000.0,850.0,690.0,Mumbai,Builder Floor Apartment,2,2.0,,"Vasai West, Mumbai",N,Freehold,Y,0.0
Ready to Move,4900000.0,650.0,600.0,Mumbai,Builder Floor Apartment,1,1.0,,"Vasai West, Mumbai",Y,Co-operative Society,Y,500.0
Ready to Move,3500000.0,632.0,,Mumbai,Builder Floor Apartment,1,1.0,,"Vasai West, Mumbai",N,Freehold,Y,0.0
Ready to Move,7400000.0,965.0,664.0,Mumbai,Apartment,3,2.0,1 Open,"Vasai West, Mumbai",Y,Freehold,Y,2000.0
Ready to Move,4500000.0,645.0,430.0,Mumbai,Apartment,1,2.0,1 Open,"Chulne, Mumbai",Y,Freehold,Y,1260.0
Ready to Move,2560000.0,385.0,385.0,Mumbai,Apartment,1,2.0,1 Open,"Vasai West, Mumbai",Y,Freehold,Y,0.0
Ready to Move,18500000.0,,670.0,Mumbai,Apartment,2,2.0,,"Vasai West, Mumbai",Y,Freehold,Y,
Under Construction,5200000.0,530.0,485.0,Mumbai,Apartment,1,1.0,1 Open,"Vasai West, Mumbai",Y,Freehold,Y,0.0
Ready to Move,6200000.0,780.0,450.0,Mumbai,Apartment,2,2.0,1 Open,"Vasai West, Mumbai",Y,Freehold,Y,2500.0
Under Construction,8100000.0,,605.0,Mumbai,Apartment,2,2.0,1 Covered,"Vasai West, Mumbai",Y,Freehold,Y,8.0
Under Construction,10200000.0,,785.0,Mumbai,Apartment,3,3.0,1 Covered,"Vasai West, Mumbai",Y,Freehold,Y,8.0
Ready to Move,3500000.0,720.0,420.0,Mumbai,Apartment,1,2.0,,"Vasai East, Mumbai",Y,Freehold,Y,
Under Construction,3600000.0,720.0,430.0,Mumbai,Apartment,1,2.0,1 Open,"Vasai East, Mumbai",Y,Freehold,Y,4.0
Ready to Move,4800000.0,810.0,625.0,Mumbai,Apartment,2,2.0,1 Open,"Vasai East, Mumbai",Y,Freehold,Y,1000.0
Under Construction,5992500.0,950.0,615.0,Mumbai,Apartment,2,3.0,1 Open,"Golani Naka, Mumbai",Y,Freehold,Y,3000.0
Under Construction,3800000.0,700.0,450.0,Mumbai,Apartment,1,2.0,1 Open,"Vasai East, Mumbai",N,Freehold,Y,1500.0
Under Construction,2900000.0,540.0,375.0,Mumbai,Apartment,1,2.0,1 Open,"Golani Naka, Mumbai",Y,Freehold,Y,1500.0
Ready to Move,2700000.0,540.0,305.0,Mumbai,Apartment,1,2.0,1 Open,"Vasai East, Mumbai",N,Freehold,Y,900.0
Under Construction,5425000.0,786.0,605.0,Mumbai,Apartment,2,2.0,,"Vasai East, Mumbai",N,Freehold,Y,1800.0
Ready to Move,3400000.0,625.0,345.0,Mumbai,Apartment,1,2.0,,"Dhumal Nagar, Mumbai",Y,Freehold,Y,1725.0
Under Construction,5860000.0,1050.0,641.0,Mumbai,Apartment,2,2.0,1 Open,"Vasai East, Mumbai",Y,Co-operative Society,Y,3000.0
Under Construction,4300000.0,620.0,430.0,Mumbai,Apartment,1,2.0,1 Open,"Vasai East, Mumbai",N,Freehold,Y,2000.0
Ready to Move,3600000.0,800.0,640.0,Mumbai,Apartment,2,2.0,"1 Covered, 1 Open","Vasai East, Mumbai",Y,Freehold,Y,1200.0
Under Construction,3300000.0,700.0,463.0,Mumbai,Apartment,1,2.0,"1 Covered, 1 Open","Vasai East, Mumbai",Y,Freehold,Y,0.0
Ready to Move,6500000.0,1250.0,836.0,Mumbai,Apartment,2,3.0,,"Vasai East, Mumbai",N,Freehold,Y,0.0
Ready to Move,3500000.0,575.0,475.0,Mumbai,Apartment,1,2.0,,"Vasai East, Mumbai",Y,,Y,
Under Construction,3800000.0,615.0,390.0,Mumbai,Apartment,1,3.0,1 Open,"Vasai East, Mumbai",Y,Freehold,Y,1200.0
Under Construction,5700000.0,1051.0,640.0,Mumbai,Apartment,2,2.0,,"Vasai East, Mumbai",Y,Freehold,Y,0.0
Ready to Move,3400000.0,610.0,499.0,Mumbai,Apartment,1,1.0,1 Open,"Vasai East, Mumbai",Y,Freehold,Y,1000.0
Under Construction,2500000.0,546.0,390.0,Mumbai,Apartment,1,1.0,1 Covered,"Vasai East, Mumbai",Y,Freehold,Y,0.0
Ready to Move,2500000.0,550.0,352.0,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",Y,Freehold,Y,
Under Construction,3600000.0,720.0,430.0,Mumbai,Apartment,1,2.0,1 Open,"Vasai East, Mumbai",Y,Freehold,Y,4.0
Ready to Move,5800000.0,825.0,600.0,Mumbai,Apartment,2,2.0,1 Open,"Vasai East, Mumbai",Y,Freehold,Y,2000.0
Under Construction,2500000.0,570.0,370.0,Mumbai,Apartment,1,2.0,1 Covered,"Vasai East, Mumbai",Y,Freehold,Y,0.0
Under Construction,2821000.0,550.0,390.0,Mumbai,Apartment,1,2.0,1 Open,"Vasai East, Mumbai",Y,Freehold,Y,2000.0
Under Construction,3800000.0,616.0,400.0,Mumbai,Apartment,1,1.0,1 Open,"Vasai East, Mumbai",Y,Freehold,Y,2500.0
Under Construction,5199000.0,900.0,605.0,Mumbai,Apartment,2,2.0,1 Open,"Vasai East, Mumbai",N,Freehold,Y,1500.0
Under Construction,3437500.0,625.0,385.0,Mumbai,Apartment,1,2.0,"1 Covered, 1 Open","Vasai East, Mumbai",Y,Freehold,Y,1800.0
Under Construction,4200000.0,640.0,444.0,Mumbai,Apartment,1,2.0,1 Covered,"Vasai East, Mumbai",Y,Freehold,Y,2000.0
Under Construction,3300000.0,690.0,379.0,Mumbai,Apartment,1,2.0,,"Vasai East, Mumbai",Y,Freehold,Y,1500.0
Under Construction,7500000.0,1035.0,795.0,Mumbai,Apartment,3,3.0,,"Vasai East, Mumbai",Y,Freehold,Y,22000.0
Under Construction,3437500.0,625.0,385.0,Mumbai,Apartment,1,2.0,"1 Covered, 1 Open","Vasai East, Mumbai",Y,Freehold,Y,1800.0
Under Construction,4200000.0,640.0,444.0,Mumbai,Apartment,1,2.0,1 Covered,"Vasai East, Mumbai",Y,Freehold,Y,2000.0
Under Construction,3300000.0,690.0,379.0,Mumbai,Apartment,1,2.0,,"Vasai East, Mumbai",Y,Freehold,Y,1500.0
Under Construction,7500000.0,1035.0,795.0,Mumbai,Apartment,3,3.0,,"Vasai East, Mumbai",Y,Freehold,Y,22000.0
Ready to Move,1300000.0,345.0,,Mumbai,Apartment,1,1.0,,"Golani Naka, Mumbai",Y,Freehold,N,
Ready to Move,2300000.0,600.0,450.0,Mumbai,Apartment,1,2.0,,"Vasai East, Mumbai",Y,Freehold,N,0.0
Ready to Move,3100000.0,590.0,,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",Y,Freehold,N,
Ready to Move,2200000.0,575.0,,Mumbai,Apartment,1,1.0,1 Open,"Vasai East, Mumbai",Y,,N,
Ready to Move,2300000.0,560.0,530.0,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",Y,,N,
Ready to Move,21000000.0,1250.0,750.0,Mumbai,Apartment,3,3.0,,"Vasai East, Mumbai",N,,N,
Ready to Move,3000000.0,590.0,,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",Y,Co-operative Society,N,1500.0
Ready to Move,3800000.0,650.0,,Mumbai,Apartment,1,2.0,,"Vasai East, Mumbai",N,Freehold,N,
Ready to Move,3800000.0,585.0,450.0,Mumbai,Apartment,1,1.0,1 Open,"Vasai East, Mumbai",Y,Co-operative Society,N,1500.0
Ready to Move,700000.0,300.0,,Mumbai,Residential House,1,1.0,1 Open,,N,Freehold,N,
Under Construction,2650000.0,550.0,375.0,Mumbai,Apartment,1,2.0,,"Vasai East, Mumbai",Y,,N,
Ready to Move,6500000.0,625.0,,Mumbai,Apartment,1,2.0,,"Vasai East, Mumbai",N,,N,
Ready to Move,3150000.0,570.0,,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",N,,Y,
Ready to Move,3200000.0,620.0,,Mumbai,Apartment,1,2.0,,"Vasai East, Mumbai",N,,N,
Ready to Move,3800000.0,700.0,500.0,Mumbai,Apartment,2,1.0,,"Vasai East, Mumbai",Y,Co-operative Society,Y,
Ready to Move,4500000.0,945.0,650.0,Mumbai,Residential House,2,2.0,,,N,,Y,
Ready to Move,2800000.0,500.0,325.0,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",Y,,Y,
Ready to Move,2500000.0,525.0,,Mumbai,Builder Floor Apartment,1,1.0,,"Vasai East, Mumbai",N,Freehold,Y,
Under Construction,4500000.0,672.0,468.0,Mumbai,Apartment,1,2.0,1 Covered,"Vasai East, Mumbai",Y,Freehold,Y,4000.0
Under Construction,3604000.0,625.0,393.0,Mumbai,Apartment,1,1.0,1 Open,"Vasai East, Mumbai",N,Freehold,Y,1350.0
Ready to Move,2700000.0,590.0,,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",N,,Y,
Ready to Move,3500000.0,600.0,400.0,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",N,Leasehold,Y,
Ready to Move,2200000.0,190.0,,Mumbai,Apartment,1,1.0,,"Golani Naka, Mumbai",N,,Y,
Under Construction,3680000.0,520.0,472.0,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",Y,,Y,
Under Construction,5610000.0,1020.0,682.0,Mumbai,Apartment,2,2.0,,"Golani Naka, Mumbai",N,,Y,
Ready to Move,2700000.0,510.0,365.0,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",Y,Freehold,Y,
Ready to Move,2900000.0,500.0,325.0,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",N,Co-operative Society,N,
Ready to Move,4550000.0,855.0,,Mumbai,Apartment,2,2.0,,"Vasai East, Mumbai",N,,N,
Ready to Move,2700000.0,600.0,380.0,Mumbai,Apartment,1,1.0,,"Golani Naka, Mumbai",N,Freehold,N,
Ready to Move,2850000.0,420.0,,Mumbai,Apartment,1,1.0,1 Open,"Vasai East, Mumbai",N,Co-operative Society,N,
Ready to Move,2700000.0,550.0,450.0,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",Y,,N,
Ready to Move,4900000.0,735.0,,Mumbai,Builder Floor Apartment,2,2.0,,"Vasai East, Mumbai",N,Co-operative Society,N,
Ready to Move,4000000.0,640.0,,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",N,,N,
Ready to Move,3500000.0,565.0,393.0,Mumbai,Apartment,1,2.0,1 Open,"Vasai East, Mumbai",N,Freehold,N,
Ready to Move,18000000.0,2000.0,1200.0,Mumbai,Residential House,4,4.0,,,N,,N,
Ready to Move,3800000.0,535.0,,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",N,,N,
Ready to Move,6000000.0,1400.0,1500.0,Mumbai,Villa,3,3.0,1 Covered,,N,,N,
Ready to Move,6000000.0,750.0,,Mumbai,Villa,2,2.0,,,N,Freehold,N,
Under Construction,7500000.0,1150.0,795.0,Mumbai,Apartment,3,3.0,1 Open,"Vasai East, Mumbai",Y,Co-operative Society,Y,3000.0
Under Construction,4000000.0,625.0,425.0,Mumbai,Apartment,1,2.0,1 Open,"Vasai East, Mumbai",Y,Freehold,Y,1500.0
Ready to Move,3800000.0,,616.0,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",Y,Freehold,N,
Ready to Move,9000000.0,1300.0,961.0,Mumbai,Apartment,3,2.0,,"Vasai East, Mumbai",N,Freehold,Y,0.0
Ready to Move,4500000.0,725.0,490.0,Mumbai,Apartment,1,2.0,,"Vasai East, Mumbai",Y,,N,
Ready to Move,4100000.0,850.0,595.0,Mumbai,Apartment,2,1.0,1 Open,"Vasai East, Mumbai",N,Freehold,N,850.0
Ready to Move,4100000.0,810.0,,Mumbai,Builder Floor Apartment,2,1.0,,"Vasai East, Mumbai",N,,Y,
Ready to Move,8000000.0,1025.0,900.0,Mumbai,Apartment,3,3.0,1 Covered,"Vasai East, Mumbai",Y,Freehold,Y,0.0
Ready to Move,2000000.0,340.0,,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",N,,Y,
Ready to Move,2900000.0,610.0,,Mumbai,Apartment,1,1.0,1 Open,"Vasai East, Mumbai",N,,Y,
Under Construction,3700000.0,550.0,,Mumbai,Apartment,1,2.0,,"Vasai East, Mumbai",N,,Y,
Under Construction,4000000.0,670.0,430.0,Mumbai,Apartment,1,2.0,505 Covered,"Vasai East, Mumbai",N,Freehold,Y,
Under Construction,5950000.0,950.0,639.0,Mumbai,Apartment,2,2.0,,"Vasai East, Mumbai",N,Freehold,Y,
Ready to Move,8500000.0,1490.0,1033.0,Mumbai,Apartment,3,4.0,,"Vasai East, Mumbai",Y,Freehold,Y,
Ready to Move,4000000.0,540.0,,Mumbai,Residential House,1,1.0,,,N,Co-operative Society,Y,
Ready to Move,3445000.0,625.0,,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",Y,Freehold,Y,2000.0
Ready to Move,2000000.0,520.0,360.0,Mumbai,Apartment,1,1.0,1 Open,"Vasai East, Mumbai",Y,Freehold,Y,700.0
Under Construction,7500000.0,910.0,780.0,Mumbai,Apartment,3,2.0,"1 Covered, 1 Open","Vasai East, Mumbai",Y,Freehold,Y,1200.0
Ready to Move,3150000.0,570.0,390.0,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",Y,Freehold,N,
Ready to Move,3500000.0,350.0,350.0,Mumbai,Apartment,1,2.0,,"Vasai East, Mumbai",Y,Freehold,N,
Ready to Move,2800000.0,550.0,370.0,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",Y,Freehold,N,
Under Construction,3872000.0,745.0,428.0,Mumbai,Apartment,1,2.0,"1 Covered, 1 Open","Vasai East, Mumbai",Y,Freehold,N,
Ready to Move,6000000.0,780.0,,Mumbai,Builder Floor Apartment,2,2.0,,"Vasai East, Mumbai",N,Co-operative Society,N,
Ready to Move,3500000.0,725.0,498.0,Mumbai,Apartment,2,2.0,,"Vasai East, Mumbai",Y,Freehold,N,
Ready to Move,3500000.0,605.0,455.0,Mumbai,Apartment,1,2.0,,"Vasai East, Mumbai",Y,Freehold,Y,
Ready to Move,3500000.0,700.0,550.0,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",Y,Freehold,N,
Ready to Move,350000.0,150.0,,Mumbai,Residential House,1,1.0,,,N,Freehold,N,250.0
Ready to Move,4100000.0,,665.0,Mumbai,Apartment,1,2.0,47 Covered,"Vasai East, Mumbai",N,Freehold,N,
Ready to Move,2600000.0,540.0,,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",N,Co-operative Society,N,
Ready to Move,4100000.0,595.0,,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",N,Freehold,N,
Ready to Move,6000000.0,,890.0,Mumbai,Apartment,2,2.0,,"Vasai East, Mumbai",Y,Co-operative Society,N,
Ready to Move,3500000.0,750.0,,Mumbai,Apartment,2,2.0,"1 Covered, 1 Open","Vasai East, Mumbai",N,,N,
Under Construction,3822500.0,695.0,495.0,Mumbai,Apartment,1,2.0,,"Vasai East, Mumbai",Y,Freehold,N,
Ready to Move,4000000.0,660.0,460.0,Mumbai,Apartment,1,1.0,,"Vasai East, Mumbai",Y,Co-operative Society,N,
Ready to Move,5500000.0,880.0,550.0,Mumbai,Apartment,2,1.0,,"Vasai East, Mumbai",N,,N,
Ready to Move,3800000.0,850.0,650.0,Mumbai,Apartment,3,2.0,1 Covered,"Vasai East, Mumbai",N,Freehold,N,
Ready to Move,5000000.0,850.0,605.0,Mumbai,Apartment,2,2.0,1 Open,"Vasai East, Mumbai",N,Co-operative Society,Y,
Ready to Move,4100000.0,789.0,,Mumbai,Apartment,2,2.0,5 Open,"Vasai East, Mumbai",N,Co-operative Society,Y,
Under Construction,2200000.0,400.0,247.0,Mumbai,Apartment,1,2.0,1 Open,"Vasai East, Mumbai",Y,Freehold,Y,0.0
Ready to Move,14000000.0,2900.0,1550.0,Mumbai,Apartment,3,3.0,1 Covered,"Vasai East, Mumbai",N,Freehold,Y,
Ready to Move,2575000.0,610.0,400.0,Mumbai,Apartment,1,2.0,,"Vasai East, Mumbai",N,,Y,
Ready to Move,5100000.0,850.0,610.0,Mumbai,Apartment,2,3.0,1 Open,"Vasai East, Mumbai",N,Freehold,Y,1800.0
Ready to Move,6500000.0,1250.0,900.0,Mumbai,Residential House,2,3.0,,,Y,Co-operative Society,Y,1500.0
Ready to Move,3425000.0,,400.0,Mumbai,Apartment,1,2.0,,"Vasai East, Mumbai",Y,,Y,
Ready to Move,3800000.0,592.0,,Mumbai,Apartment,1,2.0,,"Vasai East, Mumbai",N,Co-operative Society,Y,
Ready to Move,3700000.0,660.0,,Mumbai,Apartment,1,2.0,,"Vasai East, Mumbai",Y,Co-operative Society,Y,
Ready to Move,4200000.0,820.0,600.0,Mumbai,Apartment,2,2.0,,"Vasai East, Mumbai",Y,Co-operative Society,Y,0.0
Ready to Move,5200000.0,1030.0,890.0,Mumbai,Apartment,2,2.0,,"Vasai East, Mumbai",Y,Co-operative Society,Y,
Ready to Move,3800000.0,520.0,,Mumbai,Builder Floor Apartment,1,1.0,1 Open,"Vasai East, Mumbai",N,Freehold,Y,
Ready to Move,3700000.0,690.0,,Mumbai,Apartment,2,2.0,,"Vasai East, Mumbai",Y,Co-operative Society,Y,
Ready to Move,3500000.0,575.0,,Mumbai,Apartment,1,2.0,,"Vasai East, Mumbai",Y,Freehold,Y,1200.0
Ready to Move,12501000.0,1175.0,976.0,Mumbai,Apartment,3,3.0,1 Open,"Vasai East, Mumbai",N,Co-operative Society,Y,
Ready to Move,5000000.0,925.0,,Mumbai,Residential House,3,2.0,1 Open,,N,Freehold,Y,
Under Construction,3700000.0,625.0,410.0,Mumbai,Apartment,1,3.0,1 Open,"Vasai East, Mumbai",Y,Freehold,Y,1200.0
Under Construction,4251000.0,745.0,468.0,Mumbai,Apartment,1,2.0,,"Vasai East, Mumbai",Y,Freehold,Y,0.0
Under Construction,5225000.0,580.0,,Mumbai,Apartment,2,2.0,1 Covered,"Vasai East, Mumbai",Y,Freehold,Y,
Under Construction,4100000.0,735.0,452.0,Mumbai,Apartment,1,2.0,,"Vasai East, Mumbai",Y,Freehold,Y,0.0
Ready to Move,3100000.0,610.0,400.0,Mumbai,Apartment,1,1.0,1 Open,"Vasai East, Mumbai",Y,Freehold,Y,1000.0
